CLUSTER,DR2NAME,DR2_NUM,ID,ID_SOURCE,RA,DEC,BP_RP,GMAG,AGE,AV,PLX,DISTANCE,DM,BP_RP_0,M_G,BINARY_SHORT,BINARY_WIDE,PROT,E_PROT,PROT_REF,TEFF,MASS,BENCH
"Hyades","Gaia DR2 3312408314888858752","3312408314888858752","246714118","EPIC",67.64158070457000,14.74798066501000,2.70890,13.4905,730.000,0.00000,19.9994,50.0015,3.49492,2.70890,9.99558,0.00000,0.00000,0.321600,0.00000,"Douglas et al. (2019)",3327.17,0.278010,0
"Hyades","Gaia DR2 45293526808851200","45293526808851200","-9999","EPIC",62.86572046839000,15.99206751415000,2.82680,13.7984,730.000,0.00000,21.0390,47.5308,3.38487,2.82680,10.4135,0.00000,0.00000,1.79000,0.00000,"Douglas et al. (2019)",3258.53,0.241577,0
"Hyades","Gaia DR2 3308269757418376576","3308269757418376576","-9999","EPIC",68.95256210325999,13.28796867395000,2.73330,13.6355,730.000,0.00000,20.3091,49.2390,3.46155,2.73330,10.1740,0.00000,0.00000,13.3600,0.00000,"Douglas et al. (2019)",3312.48,0.270093,1
"Hyades","Gaia DR2 328643239565641856","328643239565641856","-9999","EPIC",36.41173268720000,37.54246595447000,2.79840,12.6467,730.000,0.00000,34.5722,28.9250,2.30636,2.79840,10.3403,0.00000,0.00000,14.6016,0.00000,"Douglas et al. (2019)",3274.52,0.250041,1
"Hyades","Gaia DR2 140340019198296320","140340019198296320","-9999","EPIC",44.17296435548000,35.37599946279000,2.46900,12.5124,730.000,0.00000,25.9345,38.5587,2.93061,2.46900,9.58179,0.00000,0.00000,22.1513,0.00000,"Douglas et al. (2019)",3480.57,0.396078,1
"Hyades","Gaia DR2 139257717503546368","139257717503546368","-9999","EPIC",48.90885708431000,37.40359015090000,2.53790,12.0460,730.000,0.00000,28.5412,35.0371,2.72264,2.53790,9.32336,0.00000,0.00000,1.28874,0.00000,"Douglas et al. (2019)",3435.24,0.359257,1
"Hyades","Gaia DR2 119219294181874048","119219294181874048","-9999","EPIC",50.63270204461000,28.97454903548000,2.86890,13.8578,730.000,0.00000,20.8634,47.9308,3.40307,2.86890,10.4547,0.00000,0.00000,1.92673,0.00000,"Douglas et al. (2019)",3235.53,0.229408,0
"Hyades","Gaia DR2 64552022725337856","64552022725337856","210942999","EPIC",53.54486078123000,22.07239943834000,3.20200,14.6101,730.000,0.00000,28.1664,35.5033,2.75134,3.20200,11.8588,0.00000,0.00000,1.80880,0.00000,"Douglas et al. (2019)",3069.92,0.167627,0
"Hyades","Gaia DR2 42947680095257344","42947680095257344","210499476","EPIC",56.74914924970000,15.40458267943000,3.13970,13.9631,730.000,0.00000,35.2745,28.3491,2.26270,3.13970,11.7004,0.00000,0.00000,0.858400,0.00000,"Douglas et al. (2019)",3101.52,0.176916,0
"Hyades","Gaia DR2 67351757289092224","67351757289092224","211169647","EPIC",58.17154351468000,25.80421569189000,1.63210,10.5727,730.000,0.00000,22.4898,44.4646,3.24007,1.63210,7.33263,0.00000,0.00000,14.6609,0.00000,"Douglas et al. (2019)",4130.76,0.647078,1
